guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_桜_さくら,桜,さくら,桜:◆サクラ(桜)、バラ科サクラ属などの植物の称 ◆「桜桃(オウトウ)」、カラミザクラ(唐実桜)、別名シナミザクラ(支那実桜)、バラ科サクラ属の木、またその実(さく,N4,kun,kun,IL2_single_default(kun 84%) | B_noun_rad_木(kun 93%),桜:◆サクラ(桜)、バラ科サクラ属などの植物の称 ◆「桜桃(オウトウ)」、カラミザクラ(唐実桜)、別名シナミザクラ(支那実桜)、バラ科サクラ属の木、またその実(さく
kk_棚_たな,棚,たな,棚:◆竹や木を組んで上を覆った建物◆粗末な小屋、掘建て(ほったて)小屋◆棒や板を横に並べて架け渡した橋や道、同「桟」「閣」◆[日]物を載せるために横に渡した板、また,N4,kun,kun,IL2_single_default(kun 84%) | B_noun_rad_木(kun 93%),棚:◆竹や木を組んで上を覆った建物◆粗末な小屋、掘建て(ほったて)小屋◆棒や板を横に並べて架け渡した橋や道、同「桟」「閣」◆[日]物を載せるために横に渡した板、また
kk_森_もり,森,もり,森:◆たくさんの木が立ち並ぶさま、木がびっしりと生えているさま、またそのようなところ◆木が茂(しげ)って薄暗いさま,N4,kun,kun,IL2_single_default(kun 84%) | B_noun_rad_木(kun 93%),森:◆たくさんの木が立ち並ぶさま、木がびっしりと生えているさま、またそのようなところ◆木が茂(しげ)って薄暗いさま
kk_植える_うえる,植える,うえる,植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」
kk_植わる_うわる,植わる,うわる,植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」
kk_植物_しょくぶつ,植物,しょくぶつ,植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」; 物:◆(天地の間に存在する)人以外の形のあるもの、人は「者」、形のないものは「事」,N4,on,on+on,B_noun_rad_木(kun 93%) | B_noun_rad_牛(kun 93%),植:◆草木の根を土中に埋めて茎(ケイ、くき)や幹(カン、みき)の部分をまっすぐに立たせる◆まっすぐに立てる、しっかりと立てる、しっかりと据(す)える、同「樹」「置」; 物:◆(天地の間に存在する)人以外の形のあるもの、人は「者」、形のないものは「事」
kk_楽しみ_たのしみ,楽しみ,たのしみ,楽:◆音を奏(かな)でる、「音楽(オンガク)」◆調和が取れて心地よい、心や体を煩(わずら)わせるものが何もなく安らかで快い、悦(よろこ)ばしい,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),楽:◆音を奏(かな)でる、「音楽(オンガク)」◆調和が取れて心地よい、心や体を煩(わずら)わせるものが何もなく安らかで快い、悦(よろこ)ばしい
kk_楽しむ_たのしむ,楽しむ,たのしむ,楽:◆音を奏(かな)でる、「音楽(オンガク)」◆調和が取れて心地よい、心や体を煩(わずら)わせるものが何もなく安らかで快い、悦(よろこ)ばしい,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),楽:◆音を奏(かな)でる、「音楽(オンガク)」◆調和が取れて心地よい、心や体を煩(わずら)わせるものが何もなく安らかで快い、悦(よろこ)ばしい
kk_構う_かまう,構う,かまう,構:◆材木をしっかりと組んで建物を作る、また出来上がった建物◆(建物・作品・組織など)幾つかの素材や要素を組み合わせて作り上げる、また組み立て上がったもの◆組み立て,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),構:◆材木をしっかりと組んで建物を作る、また出来上がった建物◆(建物・作品・組織など)幾つかの素材や要素を組み合わせて作り上げる、また組み立て上がったもの◆組み立て
kk_様々_さまざま,様々,さまざま,様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、,N4,kun,kun,IL2_single_default(kun 84%) | B_noun_rad_木(kun 93%),様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、
kk_様子_ようす,様子,ようす,様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、; 子:◆母親から産まれるもの、古くは男女を問わず「子」といったが、現代中国では男の子(息子)を指す◆新しく産まれる(生まれる)ものの元となるもの、植物の種や実、動物の,N4,on,on+on,A3_short_compound(on+on 71%) | B_noun_rad_木(kun 93%),様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、; 子:◆母親から産まれるもの、古くは男女を問わず「子」といったが、現代中国では男の子(息子)を指す◆新しく産まれる(生まれる)ものの元となるもの、植物の種や実、動物の
kk_横断_おうだん,横断,おうだん,横:◆(垂直に立つ柱に対して)水平に渡した木◆(垂直に対して)水平の方向、(前後に対して)左右の方向、(南北に対して)東西の方向、上下・南北・前後の方向を「縦」◆長; 断:◆繋(つな)がっているものを(連続しているものを)途中で切る、切って二つに分ける、切り離す◆ぷっつりと途切れる、絶(た)える◆すっぱりと区切る、きっぱりと決める,N4,on,on+on,B_noun_rad_木(kun 93%),横:◆(垂直に立つ柱に対して)水平に渡した木◆(垂直に対して)水平の方向、(前後に対して)左右の方向、(南北に対して)東西の方向、上下・南北・前後の方向を「縦」◆長; 断:◆繋(つな)がっているものを(連続しているものを)途中で切る、切って二つに分ける、切り離す◆ぷっつりと途切れる、絶(た)える◆すっぱりと区切る、きっぱりと決める
